Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Virtustream;Yahoo
2004-06;17813;1087;443;443;113;6;;;;2;7;;215;;;3;2;;;;3;;1;2;2;;;;;15;1;;;;71
2004-07;18669;1110;366;366;85;4;;;;;9;;142;;;2;10;3;;;;;;;2;;5;;2;1;;;;;101
2004-08;19952;1200;364;364;108;2;;4;;;13;;115;;;3;6;2;;;2;;;;;;7;;;5;;;;;97
2004-09;16053;1795;832;817;548;12;;;;2;18;4;139;;;5;;;;;;;;;;;16;;;9;;;;;88
2004-10;17586;1571;305;304;82;5;;;;;20;;79;;;;1;;;;;;;;;;6;;;4;15;;;1;92
2004-11;18400;1664;376;375;92;7;;;;2;18;;129;;;2;6;;;;;;;;;;3;;;9;7;;;;101
2004-12;18436;1610;415;409;93;17;;;;1;23;1;99;;;;1;;;;;;;;;;10;;;19;;;;;151
2005-01;19034;1993;335;333;64;3;;;;;31;1;75;;;2;1;2;;;1;;;3;;;1;;;11;15;;;;125
2005-02;19197;1859;355;355;71;2;;;;1;8;;79;;;;12;;;;;;;2;1;;7;;;7;1;;;;164
2005-03;19495;2198;399;399;91;2;;;;1;26;;155;;;1;8;1;;;4;;;1;;;1;;;4;6;;;1;104
2005-04;16307;1424;277;276;47;1;;;;;20;;67;;;;;1;;;;;;1;;;1;;;15;1;;;;126
2005-05;16680;1536;307;304;55;3;;;;;9;;40;;;1;2;;;;1;;3;1;4;;2;;;7;8;;;1;170
2005-06;15206;1454;238;237;103;4;;;;;10;2;39;;;;1;2;;;;;;1;;;2;;;11;7;;;;56
2005-07;16233;1441;284;284;73;;;;;;22;;64;;;;2;;;;1;;;;;;1;;;28;13;;;;82
2005-08;13853;1583;332;331;130;;;1;;;9;;77;;;;;6;;;11;;;7;;;1;;;25;6;;1;1;57
2005-09;15481;1586;305;305;81;2;;4;;;8;1;94;;;;3;12;;;11;;;;;;;;;8;8;;;;73
2005-10;17937;1732;336;334;54;2;;1;;2;10;8;63;;;;4;43;;;5;;;;;;;;;24;7;;;;113
2005-11;19526;2032;427;426;105;2;;1;;;14;25;87;;;2;1;51;;;8;;;;;;;;;27;13;;;;91
2005-12;15704;1560;316;316;61;;;1;;;13;33;32;;;;1;32;;;3;;;;;;;;;22;7;;;;112
2006-01;17381;1693;440;439;53;17;;1;;1;5;69;57;;;6;;44;;;3;;;;;;;;;29;3;;;;152
2006-02;15634;1591;398;397;46;;;;;;9;30;101;;;;11;40;;;3;;1;1;;;;;;19;4;;;;133
2006-03;16693;1852;448;446;59;1;;;;;16;31;70;;;1;25;57;;;2;;;1;;;;1;;10;5;;;;170
2006-04;16392;1627;448;447;68;2;;;;;7;30;69;;;2;29;29;;;1;;;3;;;;;;86;7;;;;116
2006-05;19910;2390;841;841;47;3;;;;;48;50;79;;;3;17;101;;;1;;;11;;;2;;;255;5;;;13;209
2006-06;16227;1761;489;489;59;3;;;;;125;14;54;;;1;10;62;;;1;;;6;;;1;;;21;;;;4;128
2006-07;15082;1711;505;503;48;2;;;;;12;38;45;;;;18;128;;;;;;5;;;;;;20;1;;;1;187
2006-08;16506;1836;536;536;40;10;;5;;;7;60;31;;;1;18;167;;;;;;3;1;;2;;;17;4;;;7;163
2006-09;15621;1837;594;580;44;5;;;;2;8;33;57;;;1;28;172;;;3;;;5;;;9;1;;58;1;;;1;167
2006-10;14774;1763;623;622;76;;;;;;3;42;127;1;;1;7;152;;;1;;;2;;;2;;;15;12;;;;182
2006-11;15308;1886;598;598;59;1;;;;;2;10;97;1;;3;15;216;;;10;;;5;;;;;;29;19;;;2;129
2006-12;14869;1726;547;547;69;3;;1;;1;7;27;73;3;;;5;171;;;4;;;6;;;;;;50;19;;;1;107
2007-01;14767;1976;605;604;60;;;4;;;27;13;86;1;;;8;204;;;9;;;3;;;;;;26;10;;;8;148
2007-02;13925;1732;484;484;33;1;;;;;9;6;62;;;;11;130;;;23;;;15;;;6;;;34;5;;;2;148
2007-03;16294;2013;605;604;59;1;;;;;9;17;58;;;;9;186;;;9;;1;14;;;4;;;43;13;1;;2;179
2007-04;15429;1872;456;456;45;3;;;;;3;28;37;;;;8;146;;;7;;;9;;;;;;30;11;;;4;125
2007-05;14500;2060;510;510;31;;;;;;5;33;47;;;1;6;196;;;;;;8;;;1;;;65;4;;;;113
2007-06;14315;1799;491;489;54;;;;;;4;20;26;;;;9;211;;;1;;;27;;;1;;;35;7;;;;96
2007-07;13845;1667;501;501;68;1;;2;;;8;28;15;;;;17;147;;;;;;28;;;1;;;28;4;;;;154
2007-08;11651;1622;417;417;43;1;;;;;56;18;42;;;;4;129;;;6;;;8;;;;;;10;7;;;1;92
2007-09;11828;1556;394;394;35;;;;;;37;14;24;;;;15;138;;;3;;;12;;;;;;10;9;;;1;96
2007-10;14207;2102;595;595;51;2;;;;;22;44;67;7;;;17;168;;;1;;;56;;;;;;11;18;;;2;129
2007-11;11783;2000;479;479;63;;;;;1;16;16;10;;;;23;182;;;5;;;29;;;1;;;24;8;;;;101
2007-12;12924;1474;386;383;38;;;;;;26;1;;;1;3;13;150;;;;;;60;;;;;;7;5;;;1;81
2008-01;14928;1867;509;509;42;1;;;;;25;;;;;;5;235;;;3;;;56;;;;;;19;11;;;1;111
2008-02;14437;1635;444;444;19;;;;;;26;;;;;2;7;255;;;;;;22;2;;;;;24;11;;;;76
2008-03;15615;1852;535;535;29;2;;;7;1;37;;;;;;2;294;;;;;;46;;;8;;;33;2;;;;81
2008-04;13329;1668;476;474;51;2;;;10;1;27;;;;;;9;260;;;2;;;19;;;10;;;35;3;;;;57
2008-05;12116;1365;415;412;37;1;;;;2;15;;;;;;2;235;;;;;;18;;;;;;17;6;;;;82
2008-06;12946;1539;432;426;30;2;;;;;4;;;;;2;23;207;;;;;;48;;;;;;23;6;;;;87
2008-07;13050;1588;395;395;55;;;;;1;5;;;;;1;2;202;;;3;;;28;;;;1;;14;2;;1;;81
2008-08;13451;1577;367;367;42;;;;;;9;;;;;;3;188;;;4;;;19;;;1;;;23;2;;;;76
2008-09;11475;1535;410;409;22;;;;;;2;;;;;;8;202;;;;;;17;;;5;;;20;5;;;1;128
2008-10;11544;1644;400;396;32;2;;;;;2;2;;;;;2;214;;;1;;;18;;;6;;;17;7;;;;97
2008-11;12147;1816;449;440;35;;;1;;;6;28;;;;1;2;240;;;4;;;11;;;2;;;17;5;;;;98
2008-12;12938;1847;449;449;38;;;;;;1;24;;;;;;252;;;2;;;25;;;16;;;8;4;;;;79
2009-01;16078;2196;462;459;30;;;;;;6;37;;;;;3;250;;;3;1;;36;;;4;;;35;2;;;;59
2009-02;13680;1802;392;391;28;;;;;3;4;13;;1;;;2;214;;;3;;;39;2;;3;;;41;1;;;;38
2009-03;15949;1993;363;360;35;1;;;2;2;1;4;;;;;;226;;;7;;;30;;;2;;;27;1;;;;29
2009-04;13061;1767;280;280;28;;1;;;;;;;;;;1;176;;;1;;;24;;;15;;;17;1;;;2;15
2009-05;15374;1978;502;501;14;;2;2;;;7;5;;;;;13;330;;;3;;;35;;;2;;;53;;;;3;33
2009-06;16536;2102;470;467;29;5;1;1;;;4;;;;;;1;319;;;;;1;21;;;2;;;51;1;;;;34
2009-07;12803;1798;399;399;23;3;;3;;;1;2;;;;;12;245;;;4;;;53;2;;10;;;25;1;;;1;14
2009-08;12260;1627;407;407;20;;;1;;;7;;;;;;9;310;;;;;;17;;;2;;;23;1;;;;18
2009-09;11750;1538;383;383;17;;2;5;7;;9;;;;;1;;238;;;1;;;19;;;12;;;41;1;;;;32
2009-10;11079;1687;450;448;10;;;3;4;;7;;;;;;1;369;;;;;;24;;;5;;;15;1;;;;14
2009-11;11795;1542;353;353;10;1;1;1;36;;10;;;;;;4;218;;;1;;;21;;;14;;;22;1;;;;21
2009-12;14569;1868;414;414;30;11;;1;18;;29;;;;;2;5;227;;1;;;;20;;;15;;;36;;;;;21
2010-01;15293;2036;516;512;17;31;;;3;;32;4;;;;1;2;332;;;;;;38;;;2;;;16;1;;3;;34
2010-02;11793;1704;382;376;17;3;;3;36;;10;5;;;;;5;255;;;3;;;15;1;;1;;;11;2;;;;16
2010-03;13320;1989;508;507;17;8;;4;22;;1;;;;;1;9;406;;;1;;1;8;;;8;;;12;2;;;;9
2010-04;12423;1870;449;444;8;;;1;17;;22;;;;;;2;342;;;1;;1;16;3;;7;;;11;;;;;18
2010-05;13282;1864;453;450;18;28;;4;3;;20;1;;;;;2;332;;;1;;1;14;;;2;1;;12;3;;;;13
2010-06;12616;2025;611;611;19;25;1;10;;;53;1;;;;;4;438;;;;;3;29;;;2;;;4;;;;;25
2010-07;12174;2110;575;569;11;14;;1;;;44;;;;;1;2;435;;;3;;;32;;;8;;1;11;;;;;19
2010-08;13982;2021;691;660;19;2;;;2;;58;1;;;;3;3;426;;;;;;134;;;4;;;26;1;;;;15
2010-09;13469;1934;683;675;7;3;;;3;;49;;;;;1;;480;;;2;;;93;;;6;;;19;2;;;;19
2010-10;11499;1622;438;434;11;1;;;;1;27;;;;;;4;354;;;2;;;17;;;3;;;2;;;;;19
2010-11;13188;1888;617;610;12;10;;;;;35;;;;;;1;510;;;2;;;14;;;14;;;12;1;;;;7
2010-12;10797;1470;428;419;3;7;;;;;37;;;;;;2;341;;;1;;;17;;;1;;;5;1;;;;15
2011-01;11913;1892;578;575;14;5;;;;;19;3;;;;;10;472;;;2;;;15;;;3;;;9;1;;;;27
2011-02;10429;1627;526;524;5;10;;1;;;9;1;;;;;13;440;;;5;;;17;;;1;;1;6;4;;;;13
2011-03;12616;2112;616;609;15;6;;;;3;5;1;;;;;12;495;;;4;;;29;;2;16;;;8;;;;;21
2011-04;9734;1563;452;449;9;9;;1;;;2;;;;;;;362;;;6;;;37;1;;1;;1;4;;;;;20
2011-05;11181;1694;570;569;37;;;;;;9;;;;;;2;444;;;2;;;53;;;4;1;3;3;;;;;20
2011-06;12547;1694;702;700;25;;;;;;18;;;;;;7;503;;;69;;;60;;;;;;1;;;;2;20
2011-07;10866;1654;526;521;10;;;;;;3;;;;;;1;384;;;6;1;;89;;2;1;;;10;;;;3;17
